Source;Target;Weight
0;1;0.028
0;2;0.004
0;3;0.004
0;4;0.008
5;6;0.024
5;7;0.012
5;8;0.004
5;9;0.004
5;10;0.004
5;11;0.004
5;12;0.004
5;13;0.004
5;14;0.004
5;15;0.004
16;17;0.004
18;19;0.012
20;21;0.004
20;22;0.004
20;23;0.012
20;24;0.008
20;25;0.008
26;27;0.02
26;28;0.012
29;30;0.024
29;31;0.004
29;32;0.02
29;33;0.004
34;35;0.008
34;36;0.012
34;13;0.02
34;37;0.068
34;4;0.032
34;38;0.004
34;39;0.004
34;40;0.004
34;41;0.016
34;42;0.016
34;43;0.016
34;44;0.004
34;1;0.012
34;45;0.008
34;46;0.004
34;47;0.004
34;48;0.004
34;49;0.008
34;50;0.004
34;51;0.004
34;52;0.004
34;53;0.004
54;4;0.004
55;56;0.008
55;57;0.008
55;58;0.008
55;59;0.008
55;60;0.004
61;4;0.008
61;62;0.02
61;38;0.004
13;63;0.04
13;64;0.072
13;65;0.016
13;4;0.048
13;6;0.016
13;51;0.032
13;37;0.084
13;35;0.008
13;36;0.04
13;8;0.016
13;66;0.004
13;44;0.02
13;67;0.02
13;68;0.004
13;43;0.008
13;40;0.004
13;50;0.004
13;69;0.024
13;70;0.004
13;71;0.004
13;72;0.004
13;73;0.004
13;49;0.008
13;74;0.004
13;75;0.016
13;76;0.008
13;47;0.004
77;78;0.004
79;80;0.02
79;4;0.024
79;81;0.004
79;82;0.004
79;83;0.004
79;84;0.008
79;85;0.008
79;6;0.012
79;86;0.008
79;87;0.004
25;88;0.004
25;89;0.004
25;11;0.004
25;24;0.02
25;23;0.008
25;90;0.004
36;35;0.008
36;4;0.004
36;64;0.008
36;91;0.004
36;40;0.004
92;93;0.004
92;94;0.012
92;59;0.016
92;95;0.004
92;96;0.004
92;97;0.004
98;30;0.008
98;99;0.008
98;32;0.008
100;101;0.008
100;89;0.008
100;102;0.008
103;67;0.004
104;105;0.052
104;106;0.008
104;107;0.012
104;108;0.004
104;109;0.004
104;110;0.008
104;111;0.016
112;113;0.008
114;115;0.004
114;116;0.008
117;70;0.004
118;119;0.008
118;120;0.004
121;122;0.008
121;123;0.008
63;64;0.04
63;65;0.012
63;4;0.036
63;6;0.004
124;4;0.02
124;125;0.008
124;6;0.004
124;126;0.016
124;127;0.004
124;128;0.004
124;129;0.008
124;130;0.004
124;40;0.004
131;132;0.008
131;94;0.008
131;133;0.008
131;134;0.008
131;96;0.004
135;6;0.004
135;136;0.012
135;137;0.004
138;139;0.004
138;70;0.004
140;141;0.004
140;142;0.004
143;144;0.008
145;4;0.012
145;146;0.044
145;40;0.008
145;147;0.004
145;148;0.008
149;150;0.008
149;151;0.004
148;146;0.012
148;4;0.004
148;40;0.004
152;153;0.02
152;75;0.02
152;154;0.008
152;155;0.004
152;6;0.004
152;156;0.004
152;157;0.004
158;4;0.02
158;45;0.016
158;46;0.004
159;160;0.004
161;37;0.008
51;37;0.04
51;67;0.016
51;43;0.012
51;62;0.004
51;162;0.004
51;50;0.004
163;164;0.008
163;165;0.008
110;109;0.008
110;105;0.008
110;136;0.004
110;166;0.004
110;32;0.004
167;120;0.004
167;139;0.004
142;168;0.004
142;46;0.004
142;86;0.004
142;70;0.004
142;4;0.008
142;141;0.004
169;30;0.008
169;99;0.008
169;32;0.008
170;171;0.008
76;4;0.004
76;87;0.004
76;30;0.008
76;166;0.004
76;32;0.004
76;24;0.008
76;90;0.008
76;75;0.008
76;47;0.004
15;172;0.004
15;173;0.004
15;12;0.004
15;14;0.004
15;6;0.004
174;175;0.004
174;176;0.008
177;4;0.012
177;24;0.004
177;178;0.004
177;179;0.004
177;180;0.004
177;90;0.008
177;166;0.004
177;32;0.004
177;6;0.004
177;181;0.004
177;182;0.004
183;184;0.004
183;185;0.008
183;186;0.004
187;188;0.008
187;189;0.02
187;190;0.012
187;4;0.008
187;191;0.004
187;192;0.004
187;193;0.004
194;195;0.004
196;197;0.004
196;198;0.008
199;200;0.004
199;46;0.004
201;139;0.004
201;4;0.004
48;45;0.024
48;47;0.004
48;1;0.004
48;37;0.004
202;203;0.004
204;189;0.004
205;139;0.004
205;45;0.004
205;4;0.004
120;4;0.004
120;139;0.02
120;6;0.008
120;206;0.004
120;207;0.004
120;40;0.004
120;208;0.004
120;209;0.004
210;211;0.004
190;188;0.008
190;189;0.032
190;4;0.004
190;212;0.004
190;83;0.004
188;189;0.008
213;6;0.004
213;12;0.004
213;172;0.004
213;4;0.004
213;214;0.004
85;215;0.004
85;46;0.004
85;40;0.024
85;6;0.04
85;216;0.048
85;4;0.012
85;147;0.004
85;217;0.004
85;218;0.004
85;219;0.02
85;220;0.012
85;221;0.032
85;222;0.016
85;223;0.016
85;224;0.004
85;86;0.012
85;225;0.004
85;226;0.004
85;111;0.004
85;42;0.004
227;64;0.008
227;228;0.008
227;4;0.004
229;4;0.004
225;111;0.004
225;230;0.008
225;216;0.004
225;6;0.004
94;59;0.012
94;231;0.004
94;132;0.008
94;133;0.008
94;134;0.008
232;233;0.004
232;234;0.004
178;4;0.004
178;179;0.004
178;180;0.004
178;90;0.008
178;24;0.004
178;182;0.004
178;235;0.004
236;6;0.004
236;4;0.004
236;139;0.004
237;238;0.004
125;4;0.004
6;239;0.008
6;87;0.036
6;240;0.004
6;139;0.112
6;241;0.004
6;242;0.004
6;4;0.136
6;40;0.02
6;216;0.028
6;12;0.088
6;64;0.028
6;243;0.008
6;30;0.004
6;126;0.004
6;224;0.02
6;244;0.008
6;245;0.008
6;168;0.004
6;246;0.004
6;247;0.012
6;248;0.004
6;249;0.004
6;116;0.004
6;219;0.004
6;220;0.004
6;250;0.004
6;251;0.004
6;46;0.012
6;52;0.004
6;66;0.004
6;37;0.008
6;1;0.104
6;212;0.004
6;2;0.076
6;252;0.008
6;253;0.012
6;254;0.008
6;255;0.088
6;256;0.008
6;257;0.016
6;258;0.02
6;259;0.004
6;260;0.004
6;261;0.02
6;156;0.024
6;262;0.02
6;172;0.008
6;200;0.004
6;43;0.004
6;263;0.004
6;206;0.016
6;70;0.024
6;264;0.028
6;86;0.016
6;62;0.012
6;73;0.016
6;222;0.004
6;223;0.004
6;155;0.008
6;8;0.004
6;47;0.004
6;265;0.004
6;226;0.004
6;266;0.004
6;267;0.004
6;157;0.004
6;268;0.004
6;269;0.008
6;270;0.004
6;271;0.004
6;272;0.004
6;273;0.004
6;102;0.004
6;182;0.016
6;90;0.004
6;181;0.004
6;24;0.004
6;179;0.004
6;14;0.004
217;274;0.004
73;275;0.004
73;276;0.004
73;71;0.008
73;72;0.004
96;244;0.004
96;59;0.004
96;97;0.016
96;277;0.004
96;278;0.004
96;279;0.004
96;56;0.004
96;280;0.004
96;281;0.004
96;282;0.004
96;283;0.004
96;284;0.004
113;285;0.008
113;286;0.004
283;284;0.004
262;30;0.004
262;45;0.016
262;287;0.012
262;4;0.012
262;14;0.008
262;288;0.004
262;261;0.02
262;64;0.02
262;156;0.016
262;258;0.016
262;289;0.008
262;42;0.008
290;238;0.008
290;291;0.004
290;22;0.004
290;292;0.004
290;171;0.004
290;4;0.012
290;139;0.008
290;242;0.008
290;191;0.004
290;293;0.004
290;294;0.004
295;22;0.004
86;4;0.004
86;46;0.004
86;70;0.004
86;155;0.008
86;172;0.008
86;12;0.008
86;62;0.008
86;40;0.008
86;281;0.004
86;296;0.004
86;1;0.004
198;132;0.016
297;298;0.004
299;250;0.004
300;139;0.004
300;165;0.004
300;301;0.004
302;303;0.02
302;78;0.016
302;119;0.008
302;33;0.012
302;166;0.004
302;32;0.004
304;97;0.004
304;165;0.004
304;305;0.004
128;126;0.004
128;129;0.004
248;246;0.036
248;168;0.036
248;306;0.008
248;307;0.008
248;249;0.04
248;116;0.048
248;247;0.004
248;52;0.008
308;70;0.004
308;47;0.008
309;310;0.008
309;70;0.008
309;311;0.036
309;312;0.036
309;313;0.012
314;315;0.004
316;317;0.004
33;30;0.004
33;119;0.008
40;318;0.004
40;89;0.012
40;4;0.044
40;319;0.008
40;216;0.024
40;224;0.004
40;221;0.012
40;139;0.056
40;219;0.004
40;146;0.008
40;220;0.004
40;37;0.008
40;171;0.004
40;320;0.004
40;223;0.004
40;206;0.004
40;321;0.008
40;182;0.012
40;258;0.012
40;91;0.004
40;322;0.004
40;102;0.008
40;245;0.008
40;241;0.004
40;323;0.004
40;126;0.004
40;130;0.004
40;324;0.004
40;62;0.008
40;261;0.004
240;139;0.004
240;241;0.004
240;242;0.004
325;326;0.004
274;219;0.008
274;42;0.004
274;238;0.004
274;203;0.008
327;91;0.004
327;4;0.004
328;329;0.012
328;70;0.004
330;263;0.004
330;241;0.012
330;139;0.012
330;242;0.008
330;331;0.004
332;333;0.004
27;28;0.012
27;334;0.032
27;335;0.004
52;251;0.004
52;46;0.004
52;116;0.012
52;37;0.004
336;266;0.008
336;337;0.02
336;139;0.02
336;242;0.016
336;241;0.012
35;4;0.024
35;47;0.024
35;338;0.004
35;339;0.004
340;333;0.004
245;139;0.02
245;4;0.016
245;241;0.004
245;261;0.004
341;342;0.004
343;22;0.004
343;344;0.004
337;266;0.008
337;139;0.02
337;242;0.016
337;241;0.012
75;4;0.004
75;345;0.004
75;154;0.012
75;153;0.024
75;47;0.008
346;347;0.016
348;155;0.004
348;306;0.004
348;349;0.004
348;156;0.004
126;4;0.008
126;127;0.004
126;129;0.004
126;130;0.004
350;214;0.012
350;228;0.012
185;351;0.012
185;186;0.004
352;353;0.004
354;212;0.004
355;224;0.004
355;139;0.004
355;70;0.004
356;17;0.016
285;146;0.008
285;203;0.004
99;30;0.02
99;32;0.016
357;208;0.004
357;209;0.004
358;268;0.036
70;4;0.012
70;37;0.004
70;30;0.004
70;310;0.02
70;311;0.004
70;329;0.004
70;206;0.004
70;69;0.004
70;224;0.008
70;139;0.024
70;223;0.004
70;255;0.028
70;359;0.004
70;303;0.004
70;46;0.004
70;251;0.004
70;264;0.008
70;269;0.004
70;360;0.004
70;312;0.004
319;318;0.004
319;89;0.008
319;4;0.008
319;322;0.004
319;102;0.004
291;4;0.016
291;171;0.04
291;238;0.02
291;22;0.004
291;292;0.008
291;249;0.004
291;347;0.02
291;361;0.02
153;154;0.012
362;360;0.004
362;46;0.004
39;38;0.004
39;37;0.004
81;82;0.004
72;253;0.008
72;71;0.02
363;264;0.012
363;364;0.004
363;365;0.004
83;84;0.004
83;4;0.004
83;212;0.004
83;189;0.004
317;366;0.004
317;46;0.004
317;17;0.016
367;368;0.004
369;335;0.004
207;91;0.016
107;105;0.036
107;106;0.02
107;370;0.004
107;108;0.004
107;109;0.004
371;144;0.004
372;373;0.008
38;37;0.004
38;224;0.004
38;4;0.004
38;238;0.004
38;171;0.004
38;374;0.004
38;139;0.004
115;116;0.04
115;12;0.004
115;4;0.004
351;375;0.016
244;4;0.008
244;224;0.004
244;139;0.008
228;64;0.008
228;4;0.004
228;214;0.012
376;377;0.004
376;378;0.004
376;379;0.004
376;380;0.004
310;311;0.008
310;4;0.004
310;312;0.008
310;381;0.008
43;37;0.024
43;200;0.04
43;382;0.004
43;156;0.04
43;258;0.008
43;233;0.004
43;50;0.004
