Source;Target;Weight
0;1;0.484
0;2;0.268
0;3;0.268
0;4;0.268
0;5;0.128
0;6;0.268
0;7;0.192
0;8;0.112
0;9;0.112
0;10;0.4
0;11;0.52
12;13;1.06
12;14;1.06
15;16;2.554
15;17;0.552
15;18;1.14
19;20;0.852
19;21;0.342
19;22;1.065
19;23;0.732
19;24;0.768
19;25;0.558
19;26;0.558
19;27;0.618
19;28;0.588
19;29;0.22
30;10;0.354
30;31;1.17
30;32;0.45
30;33;0.354
30;34;0.384
30;35;1.172
30;36;0.444
30;37;0.354
30;38;0.324
30;39;0.572
30;1;0.352
30;40;1.45
30;41;0.356
30;42;0.924
30;43;1.64
30;2;0.798
30;44;1.255
30;45;0.324
30;46;1.751
30;3;0.882
30;47;1.413
30;48;0.436
30;49;0.384
30;4;1.726
30;5;1.393
30;50;2.155
30;51;1.286
30;52;0.324
30;53;1.77
30;54;0.519
30;55;1.062
30;56;1.593
30;6;0.927
30;57;1.644
30;58;0.38
59;60;0.38
59;61;0.96
62;63;1.31
62;64;1.145
10;65;0.33
10;66;0.262
10;67;0.906
10;31;1.208
10;68;0.288
10;32;0.47
10;69;0.594
10;35;1.17
10;70;0.466
10;2;0.914
10;44;0.76
10;45;0.374
10;71;0.466
10;33;1.74
10;34;1.134
10;72;1.214
10;36;0.23
10;37;0.14
10;38;0.11
10;39;0.358
10;1;0.138
10;40;0.594
10;41;0.142
10;42;0.71
10;43;0.874
10;46;0.358
10;3;0.368
10;47;0.11
10;48;0.222
10;49;0.17
10;4;0.368
10;5;0.128
10;50;0.474
10;51;0.52
10;52;0.11
10;7;0.368
10;8;0.288
10;9;0.288
10;11;0.696
73;74;0.53
73;75;0.994
73;76;4.968
73;77;2.928
73;78;1.406
73;79;4.531
73;80;0.3
73;81;0.345
73;82;2.596
73;83;2.458
73;84;2.02
73;85;0.748
86;87;0.236
86;88;0.48
86;89;0.24
86;18;0.456
86;90;0.8
91;92;0.964
91;93;1.564
91;94;0.696
91;95;0.992
91;71;0.37
91;29;0.202
91;96;0.19
91;97;0.184
91;66;0.226
98;99;0.48
98;100;1.052
98;101;0.954
98;102;0.514
98;103;0.84
98;104;0.822
98;105;0.49
98;106;0.388
96;66;0.89
96;97;0.376
96;93;0.336
96;29;0.236
96;94;0.172
96;92;0.294
96;107;0.22
96;108;0.22
109;110;0.75
109;111;0.962
109;112;0.972
109;113;0.806
109;114;0.688
109;115;0.688
109;116;0.244
109;11;0.54
109;117;0.146
109;25;0.188
109;118;0.128
109;119;0.156
120;97;0.668
120;121;0.89
120;93;0.52
120;65;0.986
120;29;0.32
120;122;0.48
99;101;0.706
99;104;1.268
99;123;1.004
99;103;0.622
99;124;0.42
99;125;0.192
99;100;0.436
99;102;0.286
126;127;3.576
126;118;0.352
126;128;1.12
126;23;1.296
126;24;0.362
53;36;0.94
53;129;1.198
53;44;1.924
53;130;0.334
53;48;0.218
53;49;0.628
53;6;2.17
53;50;3.286
53;51;1.224
53;52;0.946
53;108;0.162
53;38;0.624
53;131;0.408
53;132;0.36
53;40;0.468
53;54;1.878
53;55;2.664
53;3;0.708
53;133;1.11
53;134;0.225
53;135;0.18
53;33;0.2
53;56;3.46
53;5;2.1
53;43;1.086
53;46;2.34
53;47;2.16
53;4;1.782
53;57;3.252
45;35;1.784
45;2;1.898
45;136;1.357
45;130;2.07
45;137;1.212
45;48;2.016
45;5;0.756
45;51;1.252
45;46;0.772
45;138;0.36
45;57;0.36
45;31;1.054
45;32;0.316
45;33;0.11
45;34;0.14
45;36;0.2
45;37;0.11
45;38;0.08
45;39;0.328
45;1;0.108
45;40;0.474
45;41;0.112
45;42;0.68
45;43;0.844
45;44;0.392
45;3;0.338
45;47;0.08
45;49;0.14
45;4;0.338
45;50;0.444
45;52;0.08
45;65;0.206
45;66;0.138
45;67;0.34
45;68;0.164
45;69;0.47
45;70;0.21
139;140;1.288
139;141;1.228
139;142;0.176
143;144;1.37
143;145;0.495
143;146;0.81
147;148;0.47
61;60;1.68
149;150;2.654
149;151;2.544
152;153;0.288
152;154;2.028
152;155;0.688
152;156;0.488
152;157;1.998
152;158;3.398
152;159;0.106
152;160;0.12
152;118;0.304
152;119;0.288
152;161;0.122
152;105;0.092
152;27;0.08
152;23;0.184
131;38;0.76
131;129;1.176
131;55;0.92
131;3;0.928
131;5;0.8
131;6;0.912
131;36;0.528
131;132;0.312
131;40;0.42
131;54;0.576
131;133;0.48
131;52;0.42
162;20;0.78
162;21;1.743
162;163;0.7
162;164;0.806
162;157;1.096
162;153;0.699
162;165;0.66
162;80;0.708
162;79;0.978
162;154;0.801
162;23;0.672
166;167;1.106
166;168;1.794
166;169;0.718
166;170;0.874
166;171;0.594
166;172;0.464
166;165;0.896
166;173;0.836
166;174;1.04
166;175;1.086
166;176;0.608
166;177;0.196
166;178;0.136
166;179;0.228
166;180;0.286
166;181;0.354
38;36;1.104
38;132;0.926
38;129;2.138
38;43;1.284
38;182;0.096
38;44;0.452
38;6;1.85
38;50;0.658
38;52;0.946
38;137;0.582
38;4;1.094
38;31;0.926
38;32;0.206
38;33;0.11
38;34;0.14
38;35;0.684
38;37;0.11
38;39;0.328
38;1;0.108
38;40;0.942
38;41;0.112
38;42;0.68
38;2;0.554
38;46;0.328
38;3;1.918
38;47;0.08
38;48;0.192
38;49;0.14
38;5;0.77
38;51;0.49
38;134;0.705
38;135;0.18
38;54;1.258
38;55;1.64
38;133;1.518
38;183;0.4
38;184;0.384
116;185;0.122
116;186;0.158
116;187;0.146
116;118;0.39
116;154;0.122
116;119;0.562
116;110;0.244
116;111;0.852
116;112;0.852
116;11;1.12
116;113;0.932
116;117;0.312
116;25;0.228
116;115;0.644
155;188;0.514
155;189;0.936
155;190;1.152
155;191;2.298
155;192;0.474
155;193;1.518
155;194;1.776
155;195;0.542
155;196;0.842
155;197;2.43
155;156;4.591
155;198;2.494
199;200;0.405
199;201;0.414
199;202;0.66
199;203;0.345
199;204;0.336
205;63;1.69
205;64;0.54
206;140;0.72
206;142;1.02
54;70;0.344
54;183;0.576
54;40;0.88
54;43;0.609
54;44;1.014
54;130;0.626
54;3;1.578
54;47;1.266
54;133;1.594
54;50;0.943
54;57;1.142
54;134;0.291
54;36;1.026
54;129;1.576
54;135;0.246
54;55;1.674
54;6;1.564
54;52;0.882
54;132;0.848
54;46;0.804
54;56;1.218
54;4;0.525
54;5;0.588
54;51;0.177
207;208;0.995
209;210;0.546
209;102;0.489
209;113;1.456
209;211;0.296
209;164;0.372
209;212;0.36
209;213;0.42
209;114;0.56
209;214;0.4
80;81;0.861
80;77;0.751
80;74;0.3
80;75;0.516
80;79;1.248
80;215;0.941
80;153;0.255
80;165;0.216
80;154;0.357
80;23;0.404
80;85;0.172
80;84;0.372
80;161;0.234
80;158;0.168
80;27;0.382
216;198;0.18
216;190;0.528
216;191;0.501
216;196;0.21
217;218;0.24
217;219;0.369
217;220;0.603
132;36;0.646
132;129;1.226
132;43;0.494
132;182;0.15
132;44;0.302
132;6;1.058
132;50;0.268
132;52;0.644
132;183;0.32
132;55;0.864
132;3;0.76
132;40;0.372
132;133;0.432
79;83;2.3
79;77;2.479
79;78;1.69
79;81;1.938
79;74;0.714
79;75;0.774
79;153;0.525
79;165;0.486
79;154;0.627
79;23;0.498
79;76;2.444
79;82;1.52
79;84;1.4
221;201;0.78
169;180;1.552
169;165;0.224
169;179;1.554
169;173;0.536
169;222;2.22
169;181;1.342
169;167;1.6
169;168;0.688
169;170;0.294
169;171;1.17
169;175;0.588
169;223;0.744
