Source;Target;Weight
0;1;5.6
0;2;0.8
0;3;0.8
4;5;0.8
4;6;0.8
4;7;0.8
4;8;0.8
4;9;0.8
10;11;0.8
12;13;2.4
14;15;0.8
14;16;0.8
14;17;2.4
14;18;1.6
14;19;1.6
20;21;4
20;22;2.4
23;24;4.8
23;25;0.8
23;26;4
23;27;0.8
28;7;4
28;29;13.6
28;30;3.2
28;1;2.4
28;31;1.6
28;32;0.8
28;33;0.8
28;34;1.6
28;35;0.8
36;37;1.6
36;38;1.6
36;39;1.6
36;40;1.6
36;41;0.8
42;43;4
7;44;8
7;45;14.4
7;35;6.4
7;29;16.8
7;46;4
7;30;1.6
7;47;0.8
7;48;0.8
7;49;0.8
7;34;1.6
7;50;3.2
7;32;0.8
51;52;0.8
53;54;0.8
53;55;0.8
19;56;0.8
19;57;0.8
19;58;0.8
19;18;4
19;17;1.6
59;60;0.8
59;61;2.4
59;40;3.2
59;62;0.8
59;63;0.8
59;64;0.8
65;24;1.6
65;66;1.6
65;26;1.6
67;68;0.8
69;70;10.4
69;71;2.4
69;72;0.8
69;73;0.8
69;74;1.6
75;76;1.6
77;78;0.8
77;79;1.6
80;81;1.6
82;83;1.6
82;84;1.6
44;45;8
85;86;1.6
85;87;3.2
85;88;0.8
85;89;1.6
90;91;1.6
90;61;1.6
90;92;1.6
90;93;1.6
90;63;0.8
94;95;2.4
96;97;8.8
98;99;1.6
98;100;0.8
101;31;3.2
102;103;0.8
35;29;8
35;30;2.4
35;43;0.8
104;105;1.6
104;106;1.6
74;73;1.6
74;70;1.6
74;95;0.8
74;107;0.8
74;26;0.8
108;24;1.6
108;66;1.6
108;26;1.6
109;24;1.6
109;107;0.8
109;26;0.8
9;110;0.8
9;111;0.8
9;6;0.8
9;8;0.8
112;113;0.8
114;107;0.8
114;26;0.8
115;116;0.8
115;117;1.6
115;118;0.8
119;120;1.6
119;121;4
119;122;2.4
119;123;0.8
119;124;0.8
125;126;0.8
127;128;0.8
127;129;1.6
33;31;4.8
33;32;0.8
33;1;0.8
33;29;0.8
130;121;0.8
131;132;0.8
122;120;1.6
122;121;6.4
120;121;1.6
133;134;9.6
133;135;0.8
133;136;0.8
133;137;4
133;138;2.4
133;139;6.4
133;140;3.2
133;141;0.8
133;142;0.8
133;143;0.8
133;144;0.8
145;45;1.6
141;143;0.8
141;146;1.6
141;134;0.8
61;40;2.4
61;147;0.8
61;91;1.6
61;92;1.6
61;93;1.6
148;149;0.8
148;150;0.8
151;152;0.8
49;153;0.8
49;47;1.6
49;48;0.8
63;154;0.8
63;40;0.8
63;64;3.2
63;155;0.8
63;156;0.8
63;157;0.8
63;37;0.8
63;158;0.8
63;159;0.8
63;160;0.8
63;161;0.8
63;162;0.8
76;163;1.6
161;162;0.8
164;165;1.6
164;166;0.8
164;16;0.8
164;167;0.8
164;168;0.8
164;169;0.8
170;171;1.6
170;110;1.6
170;6;1.6
170;43;0.8
170;159;0.8
170;172;0.8
170;1;0.8
129;91;3.2
173;174;0.8
175;176;0.8
177;106;0.8
177;178;0.8
179;180;4
179;52;3.2
179;81;1.6
179;27;2.4
179;107;0.8
179;26;0.8
181;64;0.8
181;106;0.8
181;182;0.8
88;87;0.8
88;89;0.8
183;184;7.2
183;185;7.2
183;186;1.6
183;79;9.6
183;187;0.8
183;188;1.6
189;32;1.6
190;191;1.6
190;192;7.2
190;193;7.2
190;194;2.4
195;196;0.8
197;198;0.8
27;24;0.8
27;81;1.6
199;200;0.8
201;202;0.8
203;204;2.4
205;206;0.8
21;22;2.4
21;207;6.4
21;208;0.8
188;79;2.4
209;210;1.6
209;211;4
209;212;4
213;206;0.8
214;215;0.8
216;217;0.8
211;210;1.6
211;212;4
50;32;1.6
218;219;3.2
87;89;0.8
220;221;2.4
117;222;2.4
117;118;0.8
223;224;0.8
225;11;3.2
163;97;1.6
163;226;0.8
66;24;4
66;26;3.2
166;168;8
166;165;4
166;16;0.8
166;167;1.6
166;227;0.8
166;219;4
166;228;4
54;55;0.8
48;229;1.6
48;47;4
230;231;2.4
230;232;0.8
198;11;3.2
