Source;Target;Weight
0;1;0.514
0;2;0.318
0;3;0.338
0;4;0.328
0;5;0.198
0;6;0.353
0;7;0.192
0;8;0.112
0;9;0.112
0;10;0.43
0;11;0.52
0;12;0.07
0;13;0.08
0;14;0.075
0;15;0.025
0;16;0.035
0;17;0.075
0;18;0.075
0;19;0.065
0;20;0.07
0;21;0.065
0;22;0.07
0;23;0.065
0;24;0.065
0;25;0.035
0;26;0.05
0;27;0.055
0;28;0.025
0;29;0.065
0;30;0.075
0;31;0.04
0;32;0.03
0;33;0.08
0;34;0.055
0;35;0.02
0;36;0.055
0;37;0.02
0;38;0.055
0;39;0.05
0;40;0.045
0;41;0.03
0;42;0.05
0;43;0.02
0;44;0.02
0;45;0.02
0;46;0.02
0;47;0.035
0;48;0.06
0;49;0.04
0;50;0.02
0;51;0.04
0;52;0.025
0;53;0.025
0;54;0.03
0;55;0.02
0;56;0.03
0;57;0.03
0;58;0.03
59;60;1.06
59;61;1.06
62;63;2.669
62;64;0.692
62;65;1.25
62;66;0.07
62;67;0.07
62;68;0.03
62;69;0.07
62;70;0.03
62;71;0.03
62;72;0.03
62;73;0.03
62;74;0.04
62;75;0.05
62;8;0.04
62;76;0.04
77;78;0.927
77;79;0.432
77;80;1.22
77;81;0.947
77;82;0.893
77;83;0.673
77;84;0.653
77;85;0.713
77;86;0.668
77;87;0.26
77;88;0.04
77;89;0.11
77;90;0.095
77;91;0.075
77;92;0.135
77;93;0.23
77;94;0.08
77;95;0.185
77;96;0.055
77;97;0.03
77;98;0.055
77;99;0.08
77;100;0.14
77;101;0.025
77;102;0.025
77;103;0.07
77;104;0.1
77;105;0.08
77;106;0.06
77;107;0.075
77;108;0.095
77;109;0.06
77;110;0.085
77;11;0.05
77;111;0.185
77;112;0.025
77;113;0.075
77;114;0.09
77;115;0.14
77;116;0.11
77;117;0.1
77;118;0.075
77;119;0.095
77;120;0.095
77;121;0.11
77;122;0.12
77;123;0.05
77;124;0.105
77;125;0.09
77;126;0.105
77;127;0.035
77;128;0.105
77;129;0.105
77;130;0.085
77;131;0.075
77;132;0.025
77;133;0.125
77;134;0.095
77;135;0.025
77;136;0.025
77;137;0.055
77;138;0.03
77;139;0.05
77;140;0.11
77;141;0.035
77;142;0.035
77;143;0.065
77;144;0.025
77;145;0.055
77;51;0.025
77;146;0.03
77;147;0.06
77;148;0.04
77;149;0.03
77;150;0.03
77;151;0.03
77;152;0.03
77;153;0.05
77;154;0.07
77;7;0.035
77;155;0.035
77;156;0.035
77;157;0.055
77;158;0.055
77;159;0.035
77;160;0.035
77;161;0.08
77;162;0.04
77;163;0.04
77;164;0.04
77;165;0.04
77;166;0.04
77;167;0.04
47;10;0.399
47;38;1.24
47;39;0.515
47;40;0.414
47;41;0.429
47;42;1.237
47;12;0.529
47;43;0.389
47;14;0.414
47;44;0.607
47;1;0.397
47;17;1.54
47;45;0.391
47;46;0.959
47;36;1.71
47;2;0.863
47;30;1.345
47;23;0.404
47;24;1.831
47;3;0.967
47;48;1.488
47;27;0.506
47;32;0.429
47;4;1.801
47;5;1.478
47;33;2.25
47;34;1.356
47;22;0.409
47;13;1.865
47;19;0.599
47;20;1.147
47;51;1.648
47;6;1.027
47;29;1.724
47;168;0.38
47;15;0.04
47;16;0.05
47;18;0.09
47;21;0.08
47;25;0.05
47;26;0.065
47;28;0.04
47;31;0.055
47;35;0.035
47;37;0.035
47;49;0.055
47;50;0.035
47;52;0.04
47;53;0.04
47;54;0.045
47;55;0.035
47;56;0.045
47;57;0.045
47;58;0.045
169;170;0.38
169;171;0.96
166;165;1.35
166;172;1.145
166;140;0.05
166;147;0.06
166;148;0.04
166;122;0.045
166;149;0.03
166;150;0.03
166;134;0.07
166;115;0.055
166;151;0.03
166;152;0.03
166;120;0.03
166;95;0.095
166;153;0.05
166;154;0.07
166;133;0.03
166;100;0.03
166;92;0.11
166;114;0.04
166;7;0.035
166;116;0.06
166;155;0.035
166;156;0.035
166;157;0.055
166;158;0.055
166;159;0.035
166;99;0.05
166;160;0.035
166;93;0.105
166;161;0.08
166;117;0.03
166;80;0.035
166;81;0.035
166;82;0.035
166;129;0.04
166;87;0.04
166;162;0.04
166;163;0.04
166;164;0.04
166;167;0.04
10;54;0.37
10;55;0.292
10;56;0.966
10;38;1.273
10;57;0.328
10;39;0.53
10;58;0.634
10;42;1.23
10;49;0.536
10;2;0.974
10;30;0.845
10;23;0.449
10;173;0.466
10;40;1.875
10;41;1.254
10;174;1.294
10;12;0.31
10;43;0.17
10;14;0.195
10;44;0.388
10;1;0.178
10;17;0.679
10;45;0.172
10;46;0.74
10;36;0.939
10;24;0.433
10;3;0.448
10;48;0.18
10;27;0.287
10;32;0.21
10;4;0.438
10;5;0.208
10;33;0.564
10;34;0.585
10;22;0.19
10;7;0.388
10;8;0.288
10;9;0.288
10;11;0.716
10;13;0.09
10;15;0.035
10;16;0.045
10;18;0.085
10;19;0.075
10;20;0.08
10;21;0.075
10;6;0.095
10;25;0.045
10;26;0.06
10;28;0.035
10;29;0.075
10;31;0.05
10;35;0.03
10;37;0.03
10;50;0.03
10;51;0.05
10;52;0.035
10;53;0.035
10;122;0.08
10;101;0.03
10;102;0.035
10;175;0.025
10;176;0.03
10;149;0.02
10;150;0.03
10;134;0.03
10;177;0.02
10;178;0.025
10;179;0.03
10;180;0.02
10;95;0.045
10;153;0.03
10;132;0.05
10;89;0.075
10;133;0.07
10;131;0.03
10;90;0.045
10;88;0.02
10;103;0.065
10;138;0.04
10;137;0.05
10;181;0.07
10;161;0.16
10;114;0.14
10;182;0.035
10;130;0.035
10;92;0.08
10;183;0.03
10;184;0.03
10;185;0.035
10;162;0.02
10;163;0.045
10;164;0.045
10;156;0.045
10;186;0.04
10;187;0.065
10;188;0.055
10;189;0.04
10;157;0.055
10;141;0.05
10;158;0.06
10;190;0.03
10;142;0.02
10;160;0.06
10;191;0.06
10;159;0.05
10;99;0.095
10;98;0.04
10;192;0.04
10;93;0.035
10;91;0.01
10;193;0.02
10;104;0.02
10;194;0.03
10;76;0.02
10;116;0.02
10;79;0.02
10;94;0.03
10;105;0.02
10;117;0.05
10;118;0.02
10;119;0.03
10;86;0.02
10;195;0.11
10;81;0.03
10;82;0.02
10;100;0.02
10;121;0.02
10;115;0.02
10;139;0.025
10;129;0.025
10;111;0.025
10;196;0.02
160;188;0.625
160;191;1.094
160;189;5.048
160;187;3.033
160;157;1.586
160;99;4.711
160;98;0.38
160;159;0.465
160;158;2.781
160;190;2.528
160;142;2.08
160;141;0.838
160;122;0.185
160;101;0.07
160;102;0.075
160;175;0.065
160;176;0.07
160;149;0.085
160;150;0.095
160;134;0.185
160;177;0.06
160;178;0.065
160;179;0.07
160;180;0.06
160;95;0.225
160;153;0.115
160;132;0.09
160;89;0.115
160;133;0.135
160;131;0.07
160;90;0.085
160;88;0.06
160;103;0.105
160;138;0.08
160;137;0.09
160;181;0.11
160;161;0.275
160;114;0.25
160;182;0.075
160;130;0.075
160;92;0.27
160;183;0.07
160;184;0.07
160;185;0.075
160;162;0.095
160;163;0.12
160;164;0.12
160;156;0.115
160;186;0.08
160;192;0.08
160;93;0.21
160;91;0.01
160;193;0.06
160;56;0.06
160;174;0.06
160;49;0.06
160;104;0.06
160;194;0.07
160;76;0.06
160;116;0.14
160;79;0.06
160;94;0.07
160;105;0.06
160;117;0.14
160;118;0.06
160;119;0.105
160;86;0.06
160;195;0.15
160;81;0.13
160;82;0.12
160;100;0.125
160;121;0.06
160;115;0.17
160;139;0.065
160;129;0.135
160;111;0.065
160;196;0.06
160;7;0.09
160;11;0.06
160;154;0.115
160;140;0.07
160;80;0.06
160;147;0.055
160;148;0.035
160;151;0.025
160;152;0.025
160;120;0.025
160;155;0.03
160;87;0.035
160;165;0.035
160;167;0.035
197;198;0.406
197;199;0.625
197;200;0.36
197;65;0.601
197;201;0.945
197;202;0.065
197;203;0.045
197;63;0.045
197;74;0.045
197;204;0.08
197;64;0.08
